
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=2 --cards --sandbox=sequencing-microset


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: sequencing-microset (6 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      king-of-revenge           dot-weaver   policy-pick           vic= 23 mer=  0 cap=  0 con=  0 def= 37
  early      king-of-revenge           control-lock policy-pick           vic=  1 mer=  0 cap=  0 con=  0 def= 59
  early      king-of-revenge           aggro-brute  policy-pick           vic= 41 mer=  0 cap=  0 con=  0 def= 19
  early      king-of-revenge           turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  early      king-of-revenge           chaos        policy-pick           vic= 43 mer=  0 cap=  0 con=  0 def= 17
  early      king-of-revenge           mercy-seeker policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        tri-eyes                  greedy       policy-pick           vic=  6 mer=  0 cap=  0 con=  0 def= 54
  mid        tri-eyes                  blind        policy-pick           vic=  6 mer=  0 cap=  0 con=  0 def= 54
  mid        tri-eyes                  dot-weaver   policy-pick           vic= 55 mer=  0 cap=  0 con=  0 def=  5
  mid        tri-eyes                  control-lock policy-pick           vic= 12 mer=  0 cap= 11 con=  0 def= 37
  mid        tri-eyes                  aggro-brute  policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        tri-eyes                  turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        tri-eyes                  chaos        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        tri-eyes                  mercy-seeker policy-pick           vic=  8 mer=  0 cap=  0 con=  0 def= 52
  mid        mirac                     greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     dot-weaver   policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     control-lock policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     aggro-brute  policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     turtle       policy-pick           vic=  1 mer=  0 cap=  0 con=  0 def= 59
  mid        mirac                     chaos        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     mercy-seeker policy-pick           vic=  1 mer=  0 cap=  0 con=  0 def= 59
  mid        hasshaku-sama             greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             dot-weaver   policy-pick           vic= 27 mer=  0 cap=  0 con=  0 def= 33
  mid        hasshaku-sama             control-lock policy-pick           vic=  4 mer=  0 cap=  0 con=  0 def= 56
  mid        hasshaku-sama             aggro-brute  policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             chaos        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             mercy-seeker policy-pick           vic=  3 mer=  0 cap=  0 con=  0 def= 57
  mid        jeweled-tree              greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        jeweled-tree              blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        jeweled-tree              dot-weaver   policy-pick           vic= 24 mer=  0 cap=  0 con=  0 def= 36
  mid        jeweled-tree              control-lock policy-pick           vic=  4 mer=  0 cap=  1 con=  0 def= 55
  mid        jeweled-tree              aggro-brute  policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
