
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --cards


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      the-butcher               aggro-brute  policy-pick           vic= 52 mer=  0 cap=  0 con=  0 def=  8
  early      the-butcher               turtle       policy-pick           vic= 10 mer=  0 cap=  1 con=  0 def= 49
  early      the-butcher               chaos        policy-pick           vic= 50 mer=  0 cap=  0 con=  0 def= 10
  early      the-butcher               mercy-seeker policy-pick           vic= 44 mer=  0 cap=  0 con=  0 def= 16
  early      king-of-revenge           greedy       policy-pick           vic= 36 mer=  0 cap=  0 con=  0 def= 24
  early      king-of-revenge           blind        policy-pick           vic= 37 mer=  0 cap=  0 con=  0 def= 23
  early      king-of-revenge           dot-weaver   policy-pick           vic= 45 mer=  0 cap=  0 con=  0 def= 15
  early      king-of-revenge           control-lock policy-pick           vic= 30 mer=  0 cap=  0 con=  0 def= 30
  early      king-of-revenge           aggro-brute  policy-pick           vic= 26 mer=  0 cap=  0 con=  0 def= 34
  early      king-of-revenge           turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  early      king-of-revenge           chaos        policy-pick           vic= 24 mer=  0 cap=  0 con=  0 def= 36
  early      king-of-revenge           mercy-seeker policy-pick           vic= 21 mer=  0 cap=  1 con=  0 def= 38
  mid        tri-eyes                  greedy       policy-pick           vic=  6 mer=  0 cap=  1 con=  0 def= 53
  mid        tri-eyes                  blind        policy-pick           vic=  7 mer=  0 cap=  1 con=  0 def= 52
  mid        tri-eyes                  dot-weaver   policy-pick           vic= 37 mer=  0 cap=  0 con=  0 def= 23
  mid        tri-eyes                  control-lock policy-pick           vic= 46 mer=  0 cap=  0 con=  0 def= 14
  mid        tri-eyes                  aggro-brute  policy-pick           vic= 11 mer=  0 cap=  0 con=  0 def= 49
  mid        tri-eyes                  turtle       policy-pick           vic=  4 mer=  0 cap=  0 con=  0 def= 56
  mid        tri-eyes                  chaos        policy-pick           vic=  1 mer=  0 cap=  0 con=  0 def= 59
  mid        tri-eyes                  mercy-seeker policy-pick           vic= 22 mer=  0 cap=  0 con=  0 def= 38
  mid        mirac                     greedy       policy-pick           vic=  1 mer=  0 cap=  0 con=  0 def= 59
  mid        mirac                     blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     dot-weaver   policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     control-lock policy-pick           vic= 23 mer=  0 cap=  0 con=  0 def= 37
  mid        mirac                     aggro-brute  policy-pick           vic=  1 mer=  0 cap=  0 con=  0 def= 59
  mid        mirac                     turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     chaos        policy-pick           vic=  1 mer=  0 cap=  0 con=  0 def= 59
  mid        mirac                     mercy-seeker policy-pick           vic=  1 mer=  0 cap=  0 con=  0 def= 59
  mid        hasshaku-sama             greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             dot-weaver   policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             control-lock policy-pick           vic= 27 mer=  0 cap=  0 con=  0 def= 33
  mid        hasshaku-sama             aggro-brute  policy-pick           vic=  2 mer=  0 cap=  0 con=  0 def= 58
  mid        hasshaku-sama             turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             chaos        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             mercy-seeker policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        jeweled-tree              greedy       policy-pick           vic=  7 mer=  0 cap=  0 con=  0 def= 53
  mid        jeweled-tree              blind        policy-pick           vic=  7 mer=  0 cap=  1 con=  0 def= 52
  mid        jeweled-tree              dot-weaver   policy-pick           vic=  1 mer=  0 cap=  0 con=  0 def= 59
  mid        jeweled-tree              control-lock policy-pick           vic= 37 mer=  0 cap=  0 con=  0 def= 23
  mid        jeweled-tree              aggro-brute  policy-pick           vic=  3 mer=  0 cap=  0 con=  0 def= 57
  mid        jeweled-tree              turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        jeweled-tree              chaos        policy-pick           vic=  2 mer=  0 cap=  0 con=  0 def= 58
  mid        jeweled-tree              mercy-seeker policy-pick           vic=  2 mer=  0 cap=  0 con=  0 def= 58
  mid        rawhead-rex               greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        rawhead-rex               blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
