
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=2 --cards --sandbox=chooseX-vein


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: chooseX-vein (1 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  mid        rawhead-rex               chaos        policy-pick             0%  0/0/60/0       3.0       11%     58%    42%  100% 1.00   47%
  mid        rawhead-rex               mercy-seeker policy-pick             0%  0/0/60/0       3.2        4%     33%    67%  100% 0.98   55%
  late       fire-giant                greedy       policy-pick             2%  1/0/59/0       5.5       18%     54%    46%  100% 0.97   50%
  late       fire-giant                blind        policy-pick             2%  1/0/59/0       5.5       19%     54%    46%  100% 0.97   52%
  late       fire-giant                dot-weaver   policy-pick             0%  0/0/60/0       4.0       33%     53%    47%  100% 0.99   29%
  late       fire-giant                control-lock policy-pick             0%  0/0/60/0       5.4       10%     48%    42%  100% 0.98   73%
  late       fire-giant                aggro-brute  policy-pick             0%  0/0/60/0       4.7       11%     22%    20%  100% 1.00   55%
  late       fire-giant                turtle       policy-pick             0%  0/0/60/0       4.0        0%     40%    60%  100% 0.98   57%
  late       fire-giant                chaos        policy-pick             0%  0/0/60/0       5.9       11%     54%    46%  100% 0.99   52%
  late       fire-giant                mercy-seeker policy-pick             0%  0/0/60/0       4.8        1%     37%    63%  100% 0.98   35%
  late       rangda                    greedy       policy-pick             0%  0/0/60/0       4.0       19%     54%    46%  100% 0.99   44%
  late       rangda                    blind        policy-pick             0%  0/0/60/0       4.0       18%     54%    46%  100% 0.99   45%
  late       rangda                    dot-weaver   policy-pick             0%  0/0/60/0       3.0       33%     53%    47%  100% 0.99   35%
  late       rangda                    control-lock policy-pick             0%  0/0/60/0       3.8       10%     44%    39%  100% 0.98   69%
  late       rangda                    aggro-brute  policy-pick             0%  0/0/60/0       3.6       10%     21%    19%  100% 1.00   36%
  late       rangda                    turtle       policy-pick             0%  0/0/60/0       3.0        0%     56%    44%  100% 0.98  100%
  late       rangda                    chaos        policy-pick             0%  0/0/60/0       4.0       10%     55%    45%  100% 0.99   34%
  late       rangda                    mercy-seeker policy-pick             0%  0/0/60/0       3.2        1%     31%    69%  100% 0.98   33%
  late       tezcatlipoca              greedy       policy-pick             0%  0/0/60/0       4.0       18%     54%    46%  100% 0.99   43%
  late       tezcatlipoca              blind        policy-pick             0%  0/0/60/0       4.0       18%     54%    46%  100% 0.99   44%
  late       tezcatlipoca              dot-weaver   policy-pick             0%  0/0/60/0       3.0       32%     53%    47%  100% 0.99   33%
  late       tezcatlipoca              control-lock policy-pick             0%  0/0/60/0       3.5       10%     42%    38%  100% 0.98   63%
  late       tezcatlipoca              aggro-brute  policy-pick             0%  0/0/60/0       3.5       10%     17%    15%  100% 1.00   58%
  late       tezcatlipoca              turtle       policy-pick             0%  0/0/60/0       3.0        0%     52%    48%  100% 0.98  100%
  late       tezcatlipoca              chaos        policy-pick             0%  0/0/60/0       4.0        9%     55%    45%  100% 1.00   37%
  late       tezcatlipoca              mercy-seeker policy-pick             0%  0/0/60/0       3.3        1%     35%    65%  100% 0.98   31%
  late       arch-demon                greedy       policy-pick             0%  0/0/60/0       4.0       18%     53%    47%  100% 0.99   54%
