
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --cards --sandbox=free-line-conversions


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: free-line-conversions (0 cards, 8 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      the-butcher               dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      the-butcher               control-lock policy-pick           vic= 52 mer=  0 cap=  0 con=  0 def=  8
  early      the-butcher               aggro-brute  policy-pick           vic= 55 mer=  0 cap=  1 con=  0 def=  4
  early      the-butcher               turtle       policy-pick           vic= 10 mer=  0 cap=  1 con=  0 def= 49
  early      the-butcher               chaos        policy-pick           vic= 52 mer=  0 cap=  0 con=  0 def=  8
  early      the-butcher               mercy-seeker policy-pick           vic= 43 mer=  0 cap=  2 con=  0 def= 15
  early      king-of-revenge           greedy       policy-pick           vic= 35 mer=  0 cap=  3 con=  0 def= 22
  early      king-of-revenge           blind        policy-pick           vic= 35 mer=  0 cap=  3 con=  0 def= 22
  early      king-of-revenge           dot-weaver   policy-pick           vic= 38 mer=  0 cap=  0 con=  0 def= 22
  early      king-of-revenge           control-lock policy-pick           vic= 27 mer=  0 cap=  1 con=  0 def= 32
  early      king-of-revenge           aggro-brute  policy-pick           vic= 26 mer=  0 cap=  3 con=  0 def= 31
  early      king-of-revenge           turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  early      king-of-revenge           chaos        policy-pick           vic= 27 mer=  0 cap=  1 con=  0 def= 32
  early      king-of-revenge           mercy-seeker policy-pick           vic= 21 mer=  0 cap=  3 con=  0 def= 36
